cname,iso2,iso3,group,grtype,anoemp,xnoemp
France,fr,fra,1,1,.7193042028337652,.8089395530612776
France,fr,fra,2,1,.8115337682372159,.8829079882195913
France,fr,fra,3,1,.744517594108897,.8573098798586271
France,fr,fra,4,1,.5586906717176346,.7558424063169419
France,fr,fra,5,1,.3199999217507751,.6391871020714415
France,fr,fra,6,1,.2315545024328591,.5693464794687806
France,fr,fra,7,1,.1814780325742262,.5187765274554997
France,fr,fra,8,1,.1520820614496432,.5114792760133555
France,fr,fra,9,1,.1504339714814951,.5214667572032564
France,fr,fra,10,1,.1746417380462778,.5556623616384967
France,fr,fra,1,2,.725411292390579,.8073424681968167
France,fr,fra,2,2,.690920356176284,.7859006435103464
France,fr,fra,3,2,.,.
France,fr,fra,4,2,.,.
France,fr,fra,5,2,.,.
France,fr,fra,6,2,.,.
France,fr,fra,7,2,.7430019820564302,.8254438791539658
France,fr,fra,8,2,.,.
France,fr,fra,9,2,.7247038416766699,.894529416904739
France,fr,fra,10,2,.7836948279104804,.8417143327089194
France,fr,fra,11,2,.7682507681004321,.843549872436849
France,fr,fra,12,2,.8141646335692907,.8841885589143994
France,fr,fra,13,2,.7801510426979459,.8645588038997177
France,fr,fra,14,2,.7942882759607031,.877207499705531
France,fr,fra,15,2,.8168184712271409,.8681580051647172
France,fr,fra,16,2,.8012980232011903,.8799871023700613
France,fr,fra,17,2,.8024776354115404,.883827909045915
France,fr,fra,18,2,.8357643926327079,.9162456141810326
France,fr,fra,19,2,.8322037120008525,.887917491639534
France,fr,fra,20,2,.8512105750834276,.9130882120955807
France,fr,fra,21,2,.7897345073355471,.9039887448744764
France,fr,fra,22,2,.800010988992188,.8797181741192991
France,fr,fra,23,2,.750835351987002,.8560943724940263
France,fr,fra,24,2,.7809848166118661,.8664562940655175
France,fr,fra,25,2,.7557524845468508,.8714870439420359
France,fr,fra,26,2,.7554018862672591,.8651446620226723
France,fr,fra,27,2,.7388076781650107,.860490134105361
France,fr,fra,28,2,.7155242460741524,.8471006339183167
France,fr,fra,29,2,.6996341711786692,.831474940763596
France,fr,fra,30,2,.65898761516862,.7923937796000694
France,fr,fra,31,2,.6879875668661644,.8387846638752969
France,fr,fra,32,2,.6594785175147475,.7980945904249813
France,fr,fra,33,2,.6382732974661368,.8018569334871393
France,fr,fra,34,2,.5576561039198499,.76758802974149
France,fr,fra,35,2,.5536811477391793,.7478413690374069
France,fr,fra,36,2,.5516678958891388,.755665719973713
France,fr,fra,37,2,.5118613415828351,.7367273330996151
France,fr,fra,38,2,.5256538208504381,.7381828318138418
France,fr,fra,39,2,.4652132990292713,.716954995881524
France,fr,fra,40,2,.4353898049218407,.6566286224588229
France,fr,fra,41,2,.397582233275951,.6811390298541322
France,fr,fra,42,2,.3850826554595769,.711131482412228
France,fr,fra,43,2,.3989961924128902,.6792924983044599
France,fr,fra,44,2,.3185456396568143,.6043638796185113
France,fr,fra,45,2,.3111435069526018,.6188297066708217
France,fr,fra,46,2,.2955259710272392,.6250078373332146
France,fr,fra,47,2,.2855397010729331,.6341343746970455
France,fr,fra,48,2,.2806501304780589,.5969928613834319
France,fr,fra,49,2,.2819478730834398,.6273533984421262
France,fr,fra,50,2,.2449277977751385,.6136567656468892
France,fr,fra,51,2,.2662645778346391,.6032459231053181
France,fr,fra,52,2,.2607322911682065,.6159646162945561
France,fr,fra,53,2,.2345238570282411,.6023946007446213
France,fr,fra,54,2,.2339182644597285,.5915059827534618
France,fr,fra,55,2,.2467226515926738,.5540984069123631
France,fr,fra,56,2,.2360773937703647,.5556996568663106
France,fr,fra,57,2,.1976415322117727,.5651219973865437
France,fr,fra,58,2,.2136944351362427,.5474588528652025
France,fr,fra,59,2,.2215736825072298,.5429767799091924
France,fr,fra,60,2,.2043311984554277,.5151898334825622
France,fr,fra,61,2,.1882303572408483,.5099384586654753
France,fr,fra,62,2,.1805001861513766,.5370002308389689
France,fr,fra,63,2,.1639773122662413,.5224283477046862
France,fr,fra,64,2,.1981453788362366,.5419378853426782
France,fr,fra,65,2,.211371816149824,.5142041231261958
France,fr,fra,66,2,.1678762719968812,.4846772285251163
France,fr,fra,67,2,.1847718043790553,.5136977768076877
France,fr,fra,68,2,.1876570073470021,.5424460222237906
France,fr,fra,69,2,.1693787492661555,.5092877146134338
France,fr,fra,70,2,.1629290955584901,.5121860643652572
France,fr,fra,71,2,.1639520105789497,.507109510665671
France,fr,fra,72,2,.1525587569740024,.5039497348406483
France,fr,fra,73,2,.1574379563485341,.5089919747466658
France,fr,fra,74,2,.1705869835293334,.5303410356440873
France,fr,fra,75,2,.1495557012057917,.519936035921319
France,fr,fra,76,2,.1465141432845376,.530172971205421
France,fr,fra,77,2,.1353866442459702,.531127042634237
France,fr,fra,78,2,.1649383343200913,.4912140456861397
France,fr,fra,79,2,.1412663835822567,.4916374861176633
France,fr,fra,80,2,.1386452196769287,.500282794996133
France,fr,fra,81,2,.1555580955056561,.5129436364167768
France,fr,fra,82,2,.1740959390779579,.518891332299121
France,fr,fra,83,2,.1488350809903888,.5091806613532379
France,fr,fra,84,2,.144764918508885,.5325209817800716
France,fr,fra,85,2,.1291758109781051,.5103895562877372
France,fr,fra,86,2,.1534706975202545,.5251438459499744
France,fr,fra,87,2,.1599605925435182,.5118179229449012
France,fr,fra,88,2,.1585042961323203,.531224272292918
France,fr,fra,89,2,.1371270718786834,.525306034515633
France,fr,fra,90,2,.1428235419344405,.537230147476255
France,fr,fra,91,2,.1472769575702636,.5440598246195465
France,fr,fra,92,2,.1497042699903323,.519594521623297
France,fr,fra,93,2,.1621887820170709,.527264061232886
France,fr,fra,94,2,.1602282590775436,.5423820837141945
France,fr,fra,95,2,.1448306993906499,.5254879361573653
France,fr,fra,96,2,.172440732279732,.5327663398375188
France,fr,fra,97,2,.1723536271303176,.5620953386990875
France,fr,fra,98,2,.1515834293224606,.5613803275831687
France,fr,fra,99,2,.1997093602109223,.588271879459907
France,fr,fra,100,2,.2861238993281904,.6533652929422786
Sweden,se,swe,1,1,.3990174663100826,.4835006023863064
Sweden,se,swe,2,1,.6650373655141643,.7602407388974048
Sweden,se,swe,3,1,.5845809732796049,.7393646107927108
Sweden,se,swe,4,1,.389839984014856,.5920625736198343
Sweden,se,swe,5,1,.251843465393104,.4946245135050907
Sweden,se,swe,6,1,.1913625456324873,.4121298398040279
Sweden,se,swe,7,1,.1599402809581393,.3921733462229169
Sweden,se,swe,8,1,.1461164958193379,.4071108848240373
Sweden,se,swe,9,1,.1255962872684246,.4327001356444593
Sweden,se,swe,10,1,.1101906897796988,.4419627675547274
Sweden,se,swe,1,2,.3340671165957925,.4147753023316145
Sweden,se,swe,2,2,.,.
Sweden,se,swe,3,2,.,.
Sweden,se,swe,4,2,.,.
Sweden,se,swe,5,2,.,.
Sweden,se,swe,6,2,.3291307865127665,.3738191953948144
Sweden,se,swe,7,2,.4081572061871741,.4846968105378626
Sweden,se,swe,8,2,.4733165587490961,.5932633107208929
Sweden,se,swe,9,2,.5754617678044528,.688681746217807
Sweden,se,swe,10,2,.5305095048799569,.5940151108356342
Sweden,se,swe,11,2,.6879897457356714,.7432120238713047
Sweden,se,swe,12,2,.6333716403104026,.7264919009862693
Sweden,se,swe,13,2,.5998313342760556,.7191568036640548
Sweden,se,swe,14,2,.7290984568964082,.8192658871093599
Sweden,se,swe,15,2,.7144932671944095,.780013977738802
Sweden,se,swe,16,2,.6975914319557692,.7942523509511652
Sweden,se,swe,17,2,.7220743857835733,.7711717702330367
Sweden,se,swe,18,2,.6635683077296062,.7997484069309966
Sweden,se,swe,19,2,.6344423975566306,.7597115962461142
Sweden,se,swe,20,2,.570356538992482,.6907168264577777
Sweden,se,swe,21,2,.6666495431490279,.7779771683738584
Sweden,se,swe,22,2,.6622272892387395,.8066713397003148
Sweden,se,swe,23,2,.6090230623270613,.735291361017943
Sweden,se,swe,24,2,.646259665541271,.8075262343452559
Sweden,se,swe,25,2,.6499673213261152,.7825224012246217
Sweden,se,swe,26,2,.5663453024071751,.7593104128373883
Sweden,se,swe,27,2,.5920883621408153,.7569539181717166
Sweden,se,swe,28,2,.4844734412217777,.6602252108925468
Sweden,se,swe,29,2,.4739572141901413,.6185069087207363
Sweden,se,swe,30,2,.4959023971193076,.6893381785371119
Sweden,se,swe,31,2,.4758232854937203,.6274447916890606
Sweden,se,swe,32,2,.4990531903068136,.6605791973606462
Sweden,se,swe,33,2,.4473341895339014,.6254672673255615
Sweden,se,swe,34,2,.4311965849439644,.609910982767104
Sweden,se,swe,35,2,.4282926975606948,.611787829185916
Sweden,se,swe,36,2,.3531654297984709,.5519996358571088
Sweden,se,swe,37,2,.3102438417724393,.5542742880907874
Sweden,se,swe,38,2,.3471623599225025,.5368080656678657
Sweden,se,swe,39,2,.3375385281132838,.6042867859713239
Sweden,se,swe,40,2,.2702726714776362,.5386165203740795
Sweden,se,swe,41,2,.2692354719277374,.4633246409220374
Sweden,se,swe,42,2,.3128495688623748,.5050602711912636
Sweden,se,swe,43,2,.324154609695201,.5359487111018052
Sweden,se,swe,44,2,.2420194077610423,.5228204815428418
Sweden,se,swe,45,2,.3059020225751005,.5185194641882216
Sweden,se,swe,46,2,.2117191371705644,.4893833436850106
Sweden,se,swe,47,2,.2330631523550529,.4938618657536696
Sweden,se,swe,48,2,.1950825411669168,.4599507239009097
Sweden,se,swe,49,2,.2151676385789555,.5009429334446008
Sweden,se,swe,50,2,.2072759206595266,.455166507198226
Sweden,se,swe,51,2,.2261640833744771,.4335699309458743
Sweden,se,swe,52,2,.1939099803972619,.4504693200489424
Sweden,se,swe,53,2,.1883418257786569,.4077608633758254
Sweden,se,swe,54,2,.188962919750386,.4370267467724342
Sweden,se,swe,55,2,.2118529569855586,.376688374070056
Sweden,se,swe,56,2,.1748263085130117,.3780223547003204
Sweden,se,swe,57,2,.2103951622349545,.447243435828261
Sweden,se,swe,58,2,.162236144860486,.4082770687175665
Sweden,se,swe,59,2,.1732935477868275,.3976269729321739
Sweden,se,swe,60,2,.184379519129748,.384026825716616
Sweden,se,swe,61,2,.1515925809056627,.4102669141090906
Sweden,se,swe,62,2,.1615160441431557,.352164957234348
Sweden,se,swe,63,2,.1943080896713916,.4081247010984576
Sweden,se,swe,64,2,.1873134575150812,.4236772135699393
Sweden,se,swe,65,2,.1825765372688963,.3697268425281046
Sweden,se,swe,66,2,.1496556296639278,.3618457732653606
Sweden,se,swe,67,2,.1457490005066628,.4029065189106868
Sweden,se,swe,68,2,.1397080543188651,.3679189253402869
Sweden,se,swe,69,2,.1357270470837901,.4149297615478926
Sweden,se,swe,70,2,.1516893206011705,.4101477920454696
Sweden,se,swe,71,2,.131768993574827,.3598927747982767
Sweden,se,swe,72,2,.1606296993667394,.452811432057693
Sweden,se,swe,73,2,.1910521305855598,.4084298221719811
Sweden,se,swe,74,2,.1519175603846608,.40876371441652
Sweden,se,swe,75,2,.1860221701979146,.4520964685821016
Sweden,se,swe,76,2,.1346304138673272,.4318630398731791
Sweden,se,swe,77,2,.1302757850141264,.3915213245378362
Sweden,se,swe,78,2,.1372614483560957,.366346356779224
Sweden,se,swe,79,2,.1275071387908333,.3796374137620654
Sweden,se,swe,80,2,.1099136352089842,.4185503550276006
Sweden,se,swe,81,2,.1382496992019148,.4105890058338702
Sweden,se,swe,82,2,.2237486100604008,.5425942676118621
Sweden,se,swe,83,2,.115208870956776,.4088800181028501
Sweden,se,swe,84,2,.0908064197929978,.3997294309640209
Sweden,se,swe,85,2,.1260145423217466,.4277461809177647
Sweden,se,swe,86,2,.1039217788572672,.433004618642799
Sweden,se,swe,87,2,.1099114970044994,.4471778484245021
Sweden,se,swe,88,2,.122299016704883,.4584024658356317
Sweden,se,swe,89,2,.1180669595664091,.4048708295854597
Sweden,se,swe,90,2,.1084712632035531,.394840661625719
Sweden,se,swe,91,2,.130503968939539,.4425335915092377
Sweden,se,swe,92,2,.130517057135066,.4152964975579692
Sweden,se,swe,93,2,.0862584507437854,.4382441226582902
Sweden,se,swe,94,2,.1045912952982722,.4192974191730446
Sweden,se,swe,95,2,.1059835234295873,.400339864887149
Sweden,se,swe,96,2,.1122522049767629,.4812304362222176
Sweden,se,swe,97,2,.0706392392878993,.4500486255737548
Sweden,se,swe,98,2,.0928125556336311,.4249642183888392
Sweden,se,swe,99,2,.1125217539512011,.4453837748686298
Sweden,se,swe,100,2,.1561076120405988,.5024050600365522
South Korea,kr,kor,1,1,.4410230546644821,.6211704616080661
South Korea,kr,kor,2,1,.3317960278389741,.6749501464602086
South Korea,kr,kor,3,1,.2382760839539019,.6636053461349942
South Korea,kr,kor,4,1,.1872843976803981,.6346836275863672
South Korea,kr,kor,5,1,.1565509525805107,.649092319710482
South Korea,kr,kor,6,1,.1364614717312536,.6524461317664431
South Korea,kr,kor,7,1,.1154132311747476,.657881899854447
South Korea,kr,kor,8,1,.1012184849006541,.6650992564113584
South Korea,kr,kor,9,1,.0905750765289686,.6749745697894772
South Korea,kr,kor,10,1,.0838214518866024,.6829306110672065
South Korea,kr,kor,1,2,.343069595096662,.5338787782905402
South Korea,kr,kor,2,2,.4702967804554291,.6353004510237272
South Korea,kr,kor,3,2,.440684062995394,.5891423760881798
South Korea,kr,kor,4,2,.5029114586599862,.6207292766422844
South Korea,kr,kor,5,2,.4891406332317665,.625227816348724
South Korea,kr,kor,6,2,.4612155979982854,.637276817887236
South Korea,kr,kor,7,2,.4319236461569817,.6470213735154199
South Korea,kr,kor,8,2,.431066120963179,.6471214806518221
South Korea,kr,kor,9,2,.4354464753541164,.6286291656155903
