cname,iso2,iso3,group,grtype,mrpv5,mrpv6
France,fr,fra,1,1,.6420285110927181,.6670991552346299
France,fr,fra,2,1,.70894025269873,.7325582608432825
France,fr,fra,3,1,.6566024326159768,.6816605645275847
France,fr,fra,4,1,.51544140256246,.5439605130512393
France,fr,fra,5,1,.3576168613158888,.3906629582597064
France,fr,fra,6,1,.3078421751040022,.3414492943837718
France,fr,fra,7,1,.2751662653495783,.30827946539993
France,fr,fra,8,1,.2562233333241101,.2888528179830044
France,fr,fra,9,1,.2548706570901608,.2864832533567347
France,fr,fra,10,1,.2670098685165912,.2979342789432765
France,fr,fra,1,2,.6340447346486893,.6579780417121575
France,fr,fra,2,2,.6304252135968533,.6555722759945026
France,fr,fra,3,2,.,.
France,fr,fra,4,2,.,.
France,fr,fra,5,2,.,.
France,fr,fra,6,2,.,.
France,fr,fra,7,2,.6535773705202897,.6790497798365781
France,fr,fra,8,2,.,.
France,fr,fra,9,2,.6082637077878007,.6365094026959316
France,fr,fra,10,2,.6889956268698154,.7126876598289902
France,fr,fra,11,2,.6828061855204112,.7078167058833618
France,fr,fra,12,2,.6997736308520226,.7232773288115402
France,fr,fra,13,2,.6751106551712331,.698858917791888
France,fr,fra,14,2,.7013719377594391,.7260890210310936
France,fr,fra,15,2,.7238137336015119,.7465667649152689
France,fr,fra,16,2,.6960996190258079,.7193631088353021
France,fr,fra,17,2,.7053456392305812,.7292393241769237
France,fr,fra,18,2,.7350295822152756,.758538889842147
France,fr,fra,19,2,.7224358109359545,.7456157381089321
France,fr,fra,20,2,.7357276972295409,.7588916245670506
France,fr,fra,21,2,.6768234365971778,.7014412112956587
France,fr,fra,22,2,.6909245704115984,.7146741855944332
France,fr,fra,23,2,.6729041890127082,.6975188462858933
France,fr,fra,24,2,.6926655822481986,.7167562063521717
France,fr,fra,25,2,.6580208447007189,.6823485427183484
France,fr,fra,26,2,.6759268110034472,.7013860547587639
France,fr,fra,27,2,.6465223211889431,.6716708693856696
France,fr,fra,28,2,.633234494801083,.659045964217317
France,fr,fra,29,2,.6170146439035015,.6427417853442096
France,fr,fra,30,2,.6022446812873608,.6292979799908361
France,fr,fra,31,2,.6108903840196491,.6372413808758447
France,fr,fra,32,2,.5801962322280358,.6071744181997701
France,fr,fra,33,2,.5857656675836629,.6129470469259819
France,fr,fra,34,2,.5129350742674745,.5412580460715846
France,fr,fra,35,2,.5131970506324793,.5420353740572761
France,fr,fra,36,2,.5025081757316303,.5305843501925431
France,fr,fra,37,2,.4842557580834723,.5136324633026306
France,fr,fra,38,2,.4845608298377159,.5138976968043334
France,fr,fra,39,2,.4451336417991095,.4750621146591404
France,fr,fra,40,2,.4349168689093585,.4657204298516667
France,fr,fra,41,2,.4072607453487239,.4386969678901453
France,fr,fra,42,2,.4002145224616568,.4328104504519994
France,fr,fra,43,2,.4056238650937065,.4373500214330585
France,fr,fra,44,2,.3549444174308824,.3875387899193968
France,fr,fra,45,2,.3447885044391462,.3778727222802202
France,fr,fra,46,2,.338952194400659,.3728545411728494
France,fr,fra,47,2,.3316654465321275,.3651896184551893
France,fr,fra,48,2,.3406244443815478,.3741783185177752
France,fr,fra,49,2,.33640423044452,.370338468723014
France,fr,fra,50,2,.3156471698389101,.3497591461023234
France,fr,fra,51,2,.332937066882159,.3668481804239433
France,fr,fra,52,2,.3184782892450513,.3528136818140015
France,fr,fra,53,2,.3038989455439061,.3377232649905405
France,fr,fra,54,2,.3060288561325957,.3401265450233441
France,fr,fra,55,2,.3237215036919696,.3568487196338551
France,fr,fra,56,2,.312623357789689,.3459280660104341
France,fr,fra,57,2,.2840068926185302,.3183099338401353
France,fr,fra,58,2,.2926513734305954,.3264010975889744
France,fr,fra,59,2,.3063373745223736,.3383743204131886
France,fr,fra,60,2,.2976389002102102,.3310218785557749
France,fr,fra,61,2,.2925861135687224,.3262368233549586
France,fr,fra,62,2,.2759152605489503,.3098067630149171
France,fr,fra,63,2,.2689138227022882,.3027635990614815
France,fr,fra,64,2,.2729931745169401,.305586847520862
France,fr,fra,65,2,.3049386341928381,.3373927007075931
France,fr,fra,66,2,.269981689859462,.3022994475236714
France,fr,fra,67,2,.2727087259701204,.3060042771089881
France,fr,fra,68,2,.2647702168162429,.2982934292676531
France,fr,fra,69,2,.2639850253221731,.2967142906146619
France,fr,fra,70,2,.264914210691474,.2977433630182242
France,fr,fra,71,2,.2662909450277994,.2991098883000022
France,fr,fra,72,2,.2493614876147537,.2825464563239383
France,fr,fra,73,2,.2590693825424971,.2911126145380574
France,fr,fra,74,2,.2714478674571452,.3039289870096415
France,fr,fra,75,2,.2464063567936837,.2795180703947725
France,fr,fra,76,2,.2490601281980472,.2823881713027663
France,fr,fra,77,2,.2469101480597274,.2807345343673253
France,fr,fra,78,2,.2658731313707959,.2974349955917587
France,fr,fra,79,2,.2518538233934912,.2836718430110711
France,fr,fra,80,2,.2559747856658098,.2880951303111126
France,fr,fra,81,2,.257056681373416,.2882395745685101
France,fr,fra,82,2,.2609483725831427,.292840447270045
France,fr,fra,83,2,.253394382612509,.2856360564795585
France,fr,fra,84,2,.2493932267715453,.280691915403476
France,fr,fra,85,2,.2344693105405539,.2666416851936063
France,fr,fra,86,2,.2612438709819774,.2925477708181587
France,fr,fra,87,2,.2689811087612079,.3001605310597992
France,fr,fra,88,2,.2538301937479703,.2859965558662904
France,fr,fra,89,2,.2564550352788939,.2876765098448536
France,fr,fra,90,2,.252901232775223,.2843710926174008
France,fr,fra,91,2,.2607913086850266,.2922114881969519
France,fr,fra,92,2,.2547142640333968,.2862925398982424
France,fr,fra,93,2,.2653541696283218,.2962715834211317
France,fr,fra,94,2,.2606919826766662,.2917327630555231
France,fr,fra,95,2,.2497118614756665,.2804819152192266
France,fr,fra,96,2,.2783562860891363,.3086988973751594
France,fr,fra,97,2,.2616327690688003,.2930949587583421
France,fr,fra,98,2,.2523300843055774,.283442974914541
France,fr,fra,99,2,.2738283988515146,.3044374557109741
France,fr,fra,100,2,.3127029679756611,.3426919423925737
Sweden,se,swe,1,1,.4713585833288267,.5054312213201355
Sweden,se,swe,2,1,.6817603678306552,.7142837441292901
Sweden,se,swe,3,1,.5965817857575592,.6329262753269453
Sweden,se,swe,4,1,.44202021231087,.4789386832204888
Sweden,se,swe,5,1,.3402598414992899,.3767257087659124
Sweden,se,swe,6,1,.2953165870023075,.3300780081683398
Sweden,se,swe,7,1,.2733169810968759,.3070554800632367
Sweden,se,swe,8,1,.2498262768465445,.281633042319521
Sweden,se,swe,9,1,.2183683005887163,.2482019694138488
Sweden,se,swe,10,1,.2004413081116239,.2286605781395469
Sweden,se,swe,1,2,.4279264339696754,.4619420255687162
Sweden,se,swe,2,2,.,.
Sweden,se,swe,3,2,.,.
Sweden,se,swe,4,2,.,.
Sweden,se,swe,5,2,.,.
Sweden,se,swe,6,2,.4093295308799917,.4427957419997303
Sweden,se,swe,7,2,.4590373581119383,.4925467361442087
Sweden,se,swe,8,2,.5271397661925864,.5600548806885123
Sweden,se,swe,9,2,.5893401618288143,.6238874159871437
Sweden,se,swe,10,2,.5773293556375978,.6131992190634016
Sweden,se,swe,11,2,.6998146083352285,.7305562053252467
Sweden,se,swe,12,2,.6623857653457045,.6934427272700604
Sweden,se,swe,13,2,.6413648875101933,.6730699118906806
Sweden,se,swe,14,2,.7279824559967514,.7586560768281211
Sweden,se,swe,15,2,.7240656568016404,.7549849763566765
Sweden,se,swe,16,2,.7038460038208302,.7354905149006524
Sweden,se,swe,17,2,.7365277178654182,.7682491762347725
Sweden,se,swe,18,2,.6882418701109146,.7246699316845615
Sweden,se,swe,19,2,.6369252371679868,.6723458461590989
Sweden,se,swe,20,2,.5987219921146133,.6335978195199997
Sweden,se,swe,21,2,.6723420198693025,.7084941905023603
Sweden,se,swe,22,2,.6703381101895252,.7042225395937601
Sweden,se,swe,23,2,.6235686519315695,.6597320841233451
Sweden,se,swe,24,2,.6548609741685102,.6928190644736795
Sweden,se,swe,25,2,.644090205988427,.680026088589653
Sweden,se,swe,26,2,.5615371377129443,.5981275647961337
Sweden,se,swe,27,2,.5980956643367787,.6362970452034172
Sweden,se,swe,28,2,.5176521672083221,.5538414040738202
Sweden,se,swe,29,2,.4951617908378738,.5296702319850638
Sweden,se,swe,30,2,.5290758308496835,.5668981109755136
Sweden,se,swe,31,2,.5185195989331122,.5524929466229478
Sweden,se,swe,32,2,.5310383979765411,.5689797470476428
Sweden,se,swe,33,2,.4855251187377697,.5219756632740048
Sweden,se,swe,34,2,.4870974219996935,.5233578669855758
Sweden,se,swe,35,2,.464995594106402,.5025941395870634
Sweden,se,swe,36,2,.4096935780913448,.4462462808287818
Sweden,se,swe,37,2,.3582275151261493,.3946809735038589
Sweden,se,swe,38,2,.416984336417909,.4550469058304754
Sweden,se,swe,39,2,.3953163591861937,.4336116028688027
Sweden,se,swe,40,2,.3541416321205971,.3917001696900965
Sweden,se,swe,41,2,.3648566777601458,.4030738073056633
Sweden,se,swe,42,2,.4041266735858238,.4393255776163694
Sweden,se,swe,43,2,.3961495057541227,.432950546584918
Sweden,se,swe,44,2,.3012433964091391,.3364334203570475
Sweden,se,swe,45,2,.3811788167024257,.4194861435557396
Sweden,se,swe,46,2,.3038689707366652,.341154158455395
Sweden,se,swe,47,2,.3410910246108911,.3783621651351021
Sweden,se,swe,48,2,.3000674532085301,.3365248139888182
Sweden,se,swe,49,2,.3026731376541077,.3368977916790042
Sweden,se,swe,50,2,.3054961789667093,.3411508443515497
Sweden,se,swe,51,2,.3181586269698002,.3538256642225617
Sweden,se,swe,52,2,.3055468429871296,.3408473529548202
Sweden,se,swe,53,2,.3095167609707326,.3456902023345715
Sweden,se,swe,54,2,.3024998127437509,.3391637805043848
Sweden,se,swe,55,2,.3070765818156111,.3411790838687843
Sweden,se,swe,56,2,.2762204416907028,.3104358201148826
Sweden,se,swe,57,2,.3083124119759718,.3439261417809759
Sweden,se,swe,58,2,.2642569159390091,.2975272225156037
Sweden,se,swe,59,2,.2683417788030546,.3015553090290274
Sweden,se,swe,60,2,.293539765111818,.3269173085404365
Sweden,se,swe,61,2,.2594553337954391,.2928669833991491
Sweden,se,swe,62,2,.2879034546856771,.3215722140501236
Sweden,se,swe,63,2,.2873995276960369,.3215493456348888
Sweden,se,swe,64,2,.2969903466202727,.3308382622722554
Sweden,se,swe,65,2,.3044480397225167,.3381872855737766
Sweden,se,swe,66,2,.2655552169742232,.299401435778598
Sweden,se,swe,67,2,.2546632132326243,.2893880710607816
Sweden,se,swe,68,2,.259079342788058,.2922621308544839
Sweden,se,swe,69,2,.2438234056861726,.27641338951481
Sweden,se,swe,70,2,.274222749395057,.3084489389918804
Sweden,se,swe,71,2,.2439773677026121,.2753462624875708
